Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt8878862,2021-03-25,2021-03-25,,Cidade Invisível,https://www.imdb.com/title/tt8878862/,tvSeries,7.3,60,2021,"Crime, Drama, Fantasy, Mystery, Thriller",5223,2021-02-05,,10,2021-03-25
2,tt9140560,2021-03-31,2021-03-31,,WandaVision,https://www.imdb.com/title/tt9140560/,tvMiniSeries,8.0,350,2021,"Action, Comedy, Drama, Fantasy, Sci-Fi",268626,2021-01-15,,9,2021-04-02
3,tt10167284,2021-04-02,2021-04-02,,Forky Asks a Question,https://www.imdb.com/title/tt10167284/,tvSeries,6.8,3,2019,"Animation, Short, Comedy, Family, Fantasy",1932,2019-11-12,,,
4,tt0814255,2021-04-02,2021-04-02,,Percy Jackson & the Olympians: The Lightning Thief,https://www.imdb.com/title/tt0814255/,movie,5.9,118,2010,"Adventure, Family, Fantasy",185094,2010-02-10,Chris Columbus,,
5,tt1854564,2021-04-02,2021-04-02,,Percy Jackson: Sea of Monsters,https://www.imdb.com/title/tt1854564/,movie,5.8,106,2013,"Adventure, Family, Fantasy",115844,2013-08-07,Thor Freudenthal,,
6,tt7488208,2021-04-02,2021-04-02,,Over the Moon,https://www.imdb.com/title/tt7488208/,movie,6.4,95,2020,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Sci-Fi",20865,2020-10-16,"Glen Keane, John Kahrs",,
7,tt10865226,2021-04-02,2021-04-02,,"Com a Palavra, Arnaldo Antunes",https://www.imdb.com/title/tt10865226/,movie,7.5,80,2018,Documentary,65,2018-10-19,Marcelo Machado,,
8,tt6267732,2021-04-02,2021-04-02,,Lou,https://www.imdb.com/title/tt6267732/,short,7.8,7,2017,"Animation, Short, Comedy, Family, Fantasy",7346,2017-03-12,Dave Mullins,,
9,tt6802400,2021-04-05,2021-04-05,,Coming 2 America,https://www.imdb.com/title/tt6802400/,movie,5.3,110,2021,Comedy,65631,2021-03-05,Craig Brewer,,
10,tt2371365,2021-04-08,2021-04-08,,La Vingança,https://www.imdb.com/title/tt2371365/,movie,6.6,90,2016,Comedy,316,2016-10-07,Fernando Fraiha,10,2021-04-08
11,tt14111726,2021-04-15,2021-04-15,,Cabras da Peste,https://www.imdb.com/title/tt14111726/,movie,6.2,97,2021,"Action, Comedy, Crime",1696,2021-03-18,Vitor Brandt,,
12,tt7846844,2021-05-01,2021-05-01,,Enola Holmes,https://www.imdb.com/title/tt7846844/,movie,6.6,123,2020,"Action, Adventure, Crime, Drama, Mystery",157306,2020-09-23,Harry Bradbeer,,
13,tt14371060,2021-05-16,2021-05-16,,Get the Grift,https://www.imdb.com/title/tt14371060/,movie,5.4,94,2021,"Comedy, Crime",697,2021-04-28,Pedro Antônio Paes,,
14,tt10839434,2021-05-16,2021-05-16,,"Socorro, Virei uma Garota!",https://www.imdb.com/title/tt10839434/,movie,6.0,110,2019,"Comedy, Family, Fantasy",326,2019-08-22,Leandro Neri,,
15,tt14356794,2021-05-16,2021-05-16,,Os Quatro Paralamas,https://www.imdb.com/title/tt14356794/,movie,7.0,90,2020,"Documentary, Music",154,2020-12-31,"Roberto Berliner, Paschoal Samora",,
16,tt6057322,2021-05-16,2021-05-16,,Axé: Canto do Povo de um Lugar,https://www.imdb.com/title/tt6057322/,movie,8.0,114,2016,Documentary,247,2016-10-24,Chico Kertész,,
17,tt1270797,2021-05-19,2021-05-19,,Venom,https://www.imdb.com/title/tt1270797/,movie,6.7,112,2018,"Action, Adventure, Sci-Fi",453734,2018-10-01,Ruben Fleischer,,
18,tt14315542,2021-05-30,2021-05-30,,Sexify,https://www.imdb.com/title/tt14315542/,tvSeries,6.5,40,2021,"Comedy, Drama",4771,2021-04-28,,,
19,tt9561862,2021-05-30,2021-05-30,,"Love, Death & Robots",https://www.imdb.com/title/tt9561862/,tvSeries,8.4,15,2019,"Animation, Short, Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",131487,2019-03-15,,,
20,tt0993840,2021-06-02,2021-06-02,,Army of the Dead,https://www.imdb.com/title/tt0993840/,movie,5.7,148,2021,"Action, Crime, Horror, Sci-Fi, Thriller",162282,2021-05-14,Zack Snyder,,
21,tt2527338,2021-06-06,2021-06-06,,Star Wars: Episode IX - The Rise of Skywalker,https://www.imdb.com/title/tt2527338/,movie,6.5,141,2019,"Action, Adventure, Fantasy, Sci-Fi",420331,2019-12-16,J.J. Abrams,,
22,tt3094296,2021-06-06,2021-06-06,,A Farra do Circo,https://www.imdb.com/title/tt3094296/,movie,6.7,94,2014,Documentary,56,2014-05-31,"Roberto Berliner, Pedro Bronz",,
23,tt3630128,2021-06-07,2021-06-07,,Apenstreken,https://www.imdb.com/title/tt3630128/,movie,5.8,87,2015,Family,142,2015-06-10,Johan Nijenhuis,,
24,tt6111574,2021-06-10,2021-06-10,,The Woman in the Window,https://www.imdb.com/title/tt6111574/,movie,5.7,100,2021,"Crime, Drama, Mystery, Thriller",69340,2021-05-14,Joe Wright,,
25,tt10121392,2021-06-13,2021-06-13,,Thunder Force,https://www.imdb.com/title/tt10121392/,movie,4.4,106,2021,"Action, Adventure, Comedy, Fantasy, Sci-Fi",39793,2021-04-09,Ben Falcone,,
26,tt0454987,2021-06-13,2021-06-13,,Let's Go to Prison,https://www.imdb.com/title/tt0454987/,movie,6.0,84,2006,"Comedy, Crime",24740,2006-11-17,Bob Odenkirk,,
27,tt3527550,2021-06-14,2021-06-14,,Alemão,https://www.imdb.com/title/tt3527550/,movie,6.1,112,2014,"Action, Drama",1217,2014-03-13,José Eduardo Belmonte,,
28,tt0095963,2021-06-14,2021-06-14,,Red Heat,https://www.imdb.com/title/tt0095963/,movie,6.1,104,1988,"Action, Comedy, Crime, Thriller",69112,1988-06-14,Walter Hill,,
29,tt0109836,2021-06-14,2021-06-14,,Frankenstein,https://www.imdb.com/title/tt0109836/,movie,6.4,123,1994,"Drama, Horror, Romance, Sci-Fi",54283,1994-11-04,Kenneth Branagh,,
30,tt0103874,2021-06-22,2021-06-22,,Dracula,https://www.imdb.com/title/tt0103874/,movie,7.4,128,1992,"Drama, Fantasy, Horror, Romance",209559,1992-11-10,Francis Ford Coppola,,
31,tt8773976,2021-07-03,2021-07-03,,Sepultura Endurance,https://www.imdb.com/title/tt8773976/,movie,7.4,100,2017,Documentary,203,2017-05-21,Otavio Juliano,10,2021-07-03
32,tt7146812,2021-07-04,2021-07-04,,Onward,https://www.imdb.com/title/tt7146812/,movie,7.4,102,2020,"Animation, Adventure, Comedy, Drama, Family, Fantasy",135743,2020-02-21,Dan Scanlon,,
33,tt4941804,2021-07-04,2021-07-04,,Riley's First Date?,https://www.imdb.com/title/tt4941804/,video,7.5,5,2015,"Animation, Short, Comedy, Family, Romance",7534,2015-10-13,Josh Cooley,,
34,tt14180640,2021-07-04,2021-07-04,,This Is Pop: The Boyz II Men Effect,https://www.imdb.com/title/tt14180640/,tvEpisode,6.8,44,2021,Music,174,2021-03-06,Chelsea McMullan,,
35,tt14781176,2021-07-10,2021-07-10,,Je8ileui bam,https://www.imdb.com/title/tt14781176/,movie,5.3,115,2021,"Horror, Thriller",2951,2021-07-02,Kim Tae-hyung,,
36,tt14180498,2021-07-10,2021-07-10,,This Is Pop: Auto-Tune,https://www.imdb.com/title/tt14180498/,tvEpisode,7.5,44,2021,Music,174,2021-03-06,Jared Raab,,
37,tt14033328,2021-07-12,2021-07-12,,Meu Amigo Bussunda,https://www.imdb.com/title/tt14033328/,tvSeries,8.2,,2021,Documentary,44,2021-06-16,,,
38,tt3228774,2021-07-26,2021-07-26,,Cruella,https://www.imdb.com/title/tt3228774/,movie,7.4,134,2021,"Adventure, Comedy, Crime, Drama",210260,2021-05-18,Craig Gillespie,,
39,tt5109280,2021-08-16,2021-08-16,,Raya and the Last Dragon,https://www.imdb.com/title/tt5109280/,movie,7.3,107,2021,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",133845,2021-03-03,"Paul Briggs, Don Hall, Carlos López Estrada, John Ripa",,
40,tt9777666,2021-08-16,2021-08-16,,The Tomorrow War,https://www.imdb.com/title/tt9777666/,movie,6.6,138,2021,"Action, Adventure, Drama, Sci-Fi, Thriller",188924,2021-07-02,Chris McKay,,
41,tt2442560,2021-08-16,2021-08-16,,Peaky Blinders,https://www.imdb.com/title/tt2442560/,tvSeries,8.8,60,2013,"Crime, Drama",453634,2013-09-12,,,
42,tt3480822,2021-09-13,2021-09-13,,Black Widow,https://www.imdb.com/title/tt3480822/,movie,6.7,134,2021,"Action, Adventure, Sci-Fi",333966,2021-06-30,Cate Shortland,,
43,tt4532038,2021-09-18,2021-09-18,,The War with Grandpa,https://www.imdb.com/title/tt4532038/,movie,5.6,94,2020,"Comedy, Drama, Family",19234,2020-08-27,Tim Hill,,
44,tt14731254,2021-09-20,2021-09-20,,Val,https://www.imdb.com/title/tt14731254/,movie,7.7,109,2021,"Documentary, Biography",9951,2021-07-07,"Leo Scott, Ting Poo",,
45,tt8579674,2021-09-20,2021-09-20,,1917,https://www.imdb.com/title/tt8579674/,movie,8.3,119,2019,"Action, Drama, War",531345,2019-12-04,Sam Mendes,,
46,tt6324278,2021-09-20,2021-09-20,,Abominable,https://www.imdb.com/title/tt6324278/,movie,7.0,97,2019,"Animation, Adventure, Comedy, Drama, Family, Fantasy",36488,2019-09-07,"Todd Wilderman, Jill Culton",,
47,tt5113040,2021-09-20,2021-09-20,,The Secret Life of Pets 2,https://www.imdb.com/title/tt5113040/,movie,6.5,86,2019,"Animation, Adventure, Comedy, Family",59108,2019-05-24,"Chris Renaud, Jonathan del Val",,
48,tt6334354,2021-09-20,2021-09-20,,The Suicide Squad,https://www.imdb.com/title/tt6334354/,movie,7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",301380,2021-07-28,James Gunn,,
49,tt5363618,2021-09-21,2021-09-21,,Sound of Metal,https://www.imdb.com/title/tt5363618/,movie,7.8,120,2019,"Drama, Music",115149,2019-09-06,Darius Marder,,
50,tt9770150,2021-09-21,2021-09-21,,Nomadland,https://www.imdb.com/title/tt9770150/,movie,7.3,107,2020,Drama,144928,2020-09-11,Chloé Zhao,10,2021-09-21
51,tt11771594,2021-09-21,2021-09-21,,American Pie Presents: Girls' Rules,https://www.imdb.com/title/tt11771594/,video,3.8,95,2020,Comedy,7819,2020-10-06,Mike Elliott,,
52,tt5818404,2021-09-23,2021-09-23,,Legalize Já: Amizade Nunca Morre,https://www.imdb.com/title/tt5818404/,movie,7.1,95,2017,"Biography, Drama",294,2017-10-06,"Johnny Araújo, Gustavo Bonafé",,
53,tt2452244,2021-09-23,2021-09-23,,Isn't It Romantic,https://www.imdb.com/title/tt2452244/,movie,5.9,89,2019,"Comedy, Fantasy, Musical, Romance",67903,2019-02-11,Todd Strauss-Schulson,,
54,tt9850386,2021-09-25,2021-09-25,,The Bee Gees: How Can You Mend a Broken Heart,https://www.imdb.com/title/tt9850386/,movie,8.1,111,2020,"Documentary, Biography, Music",4398,2020-10-08,Frank Marshall,,
55,tt1610525,2021-09-26,2021-09-26,,The Bleeder,https://www.imdb.com/title/tt1610525/,movie,6.5,98,2016,"Biography, Drama, Sport",6223,2016-09-02,Philippe Falardeau,,
56,tt1528854,2021-09-26,2021-09-26,,Daddy's Home,https://www.imdb.com/title/tt1528854/,movie,6.2,96,2015,"Comedy, Family",116912,2015-12-09,Sean Anders,,
57,tt6723592,2021-09-28,2021-09-28,,Tenet,https://www.imdb.com/title/tt6723592/,movie,7.4,150,2020,"Action, Sci-Fi, Thriller",452383,2020-08-22,Christopher Nolan,,
58,tt2828996,2021-09-28,2021-09-28,,A Haunted House 2,https://www.imdb.com/title/tt2828996/,movie,4.7,86,2014,"Comedy, Fantasy, Horror",21260,2014-04-18,Michael Tiddes,,
59,tt10288566,2021-09-29,2021-09-29,,Druk,https://www.imdb.com/title/tt10288566/,movie,7.7,117,2020,"Comedy, Drama",133835,2020-09-12,Thomas Vinterberg,,
60,tt0113118,2021-09-30,2021-09-30,,Friday,https://www.imdb.com/title/tt0113118/,movie,7.3,91,1995,"Comedy, Drama",108952,1995-04-26,F. Gary Gray,,
61,tt5098836,2021-10-02,2021-10-02,,I Believe in Miracles,https://www.imdb.com/title/tt5098836/,movie,7.8,104,2015,"Documentary, History, Sport",1662,2015-10-11,Jonny Owen,,
62,tt10919420,2021-10-02,2021-10-02,,Ojing-eo geim,https://www.imdb.com/title/tt10919420/,tvSeries,8.0,55,2021,"Action, Drama, Mystery, Thriller",396773,2021-09-17,,,
63,tt5657846,2021-10-03,2021-10-03,,Daddy's Home 2,https://www.imdb.com/title/tt5657846/,movie,6.0,100,2017,Comedy,70509,2017-11-08,Sean Anders,,
64,tt8160834,2021-10-03,2021-10-03,,Follow Me,https://www.imdb.com/title/tt8160834/,movie,5.4,91,2020,"Adventure, Horror, Mystery, Thriller",10118,2020-07-11,Will Wernick,,
65,tt1386588,2021-10-03,2021-10-03,,The Other Guys,https://www.imdb.com/title/tt1386588/,movie,6.7,107,2010,"Action, Comedy, Crime",259018,2010-08-02,Adam McKay,,
66,tt6264654,2021-10-04,2021-10-04,,Free Guy,https://www.imdb.com/title/tt6264654/,movie,7.2,115,2021,"Action, Adventure, Comedy, Fantasy, Sci-Fi",279229,2021-08-10,Shawn Levy,,
67,tt4667094,2021-10-05,2021-10-05,,Fifty Shades of Black,https://www.imdb.com/title/tt4667094/,movie,3.5,92,2016,Comedy,21183,2016-01-28,Michael Tiddes,,
68,tt2380307,2021-10-06,2021-10-06,,Coco,https://www.imdb.com/title/tt2380307/,movie,8.4,105,2017,"Animation, Adventure, Comedy, Family, Fantasy, Music, Mystery",461635,2017-10-20,"Adrian Molina, Lee Unkrich",,
69,tt11639414,2021-10-06,2021-10-06,,The Midnight Gospel,https://www.imdb.com/title/tt11639414/,tvSeries,8.2,23,2020,"Animation, Adventure, Comedy, Fantasy, Sci-Fi",16322,2020-04-20,,,
70,tt15085802,2021-10-06,2021-10-06,,Untold: Malice at the Palace,https://www.imdb.com/title/tt15085802/,movie,7.5,68,2021,"Documentary, Crime, Sport",7217,2021-08-10,Floyd Russ,,
71,tt8946378,2021-10-08,2021-10-08,,Knives Out,https://www.imdb.com/title/tt8946378/,movie,7.9,130,2019,"Comedy, Crime, Drama, Mystery, Thriller",572210,2019-09-07,Rian Johnson,,
72,tt15101956,2021-10-10,2021-10-10,,Untold: Crime and Penalties,https://www.imdb.com/title/tt15101956/,movie,7.5,85,2021,"Documentary, Crime, Sport",3038,2021-08-31,"Chapman Way, Maclain Way",,
73,tt1077368,2021-10-10,2021-10-10,,Dark Shadows,https://www.imdb.com/title/tt1077368/,movie,6.2,113,2012,"Comedy, Fantasy, Horror",260523,2012-05-09,Tim Burton,,
74,tt9421570,2021-10-11,2021-10-11,,The Guilty,https://www.imdb.com/title/tt9421570/,movie,6.3,90,2021,"Crime, Drama, Thriller",105627,2021-09-11,Antoine Fuqua,,
75,tt0110442,2021-10-11,2021-10-11,,Major League II,https://www.imdb.com/title/tt0110442/,movie,5.6,105,1994,"Comedy, Sport",26232,1994-03-30,David S. Ward,,
76,tt2611652,2021-10-12,2021-10-12,,Fúsi,https://www.imdb.com/title/tt2611652/,movie,7.4,94,2015,Drama,8504,2015-02-09,Dagur Kári,,
77,tt15292806,2021-10-16,2021-10-16,,Attack of the Hollywood Cliches!,https://www.imdb.com/title/tt15292806/,tvSpecial,6.1,58,2021,"Documentary, Comedy",3385,2021-09-28,"Ricky Kelehar, Sean Doherty, Alice Mathias",,
78,tt11337862,2021-10-23,2021-10-23,,Friends: The Reunion,https://www.imdb.com/title/tt11337862/,tvSpecial,8.1,104,2021,"Documentary, Biography, Comedy, History, Talk-Show",56085,2021-05-27,"Russell Norman, Ben Winston",,
79,tt3554046,2021-10-24,2021-10-24,,Space Jam: A New Legacy,https://www.imdb.com/title/tt3554046/,movie,4.4,115,2021,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi, Sport",64379,2021-07-12,Malcolm D. Lee,,
80,tt7069210,2021-10-26,2021-10-26,,The Conjuring: The Devil Made Me Do It,https://www.imdb.com/title/tt7069210/,movie,6.3,112,2021,"Horror, Mystery, Thriller",101778,2021-05-26,Michael Chaves,,
81,tt1266020,2021-10-29,2021-10-29,,Parks and Recreation,https://www.imdb.com/title/tt1266020/,tvSeries,8.6,22,2009,Comedy,242362,2009-04-09,,,
82,tt6459834,2021-10-30,2021-10-30,,Chorão: Marginal Alado,https://www.imdb.com/title/tt6459834/,movie,7.5,75,2019,Documentary,680,2019-10-31,Felipe Novaes,,
83,tt0063929,2021-11-01,2021-11-01,,Monty Python's Flying Circus,https://www.imdb.com/title/tt0063929/,tvSeries,8.8,30,1969,Comedy,72208,1969-10-05,,,
84,tt0098904,2021-11-01,2021-11-01,,Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.8,22,1989,Comedy,294248,1989-05-06,,,
85,tt15478708,2021-11-01,2021-11-01,,Adventure Beast,https://www.imdb.com/title/tt15478708/,tvSeries,5.2,20,2021,"Animation, Adventure, Comedy",471,2021-10-22,,,
86,tt0478970,2021-11-02,2021-11-02,,Ant-Man,https://www.imdb.com/title/tt0478970/,movie,7.3,117,2015,"Action, Adventure, Comedy, Sci-Fi",630237,2015-06-29,Peyton Reed,,
87,tt1245492,2021-11-03,2021-11-03,,This Is the End,https://www.imdb.com/title/tt1245492/,movie,6.6,107,2013,Comedy,401906,2013-06-03,"Evan Goldberg, Seth Rogen",,
88,tt7053920,2021-11-08,2021-11-08,,The Toys That Made Us,https://www.imdb.com/title/tt7053920/,tvSeries,8.0,46,2017,"Documentary, Comedy, History",5507,2017-12-22,,,
89,tt10971022,2021-11-13,2021-11-13,,The Crew,https://www.imdb.com/title/tt10971022/,tvSeries,6.6,,2021,Comedy,5142,2021-02-15,,,
90,tt7991608,2021-11-13,2021-11-13,,Red Notice,https://www.imdb.com/title/tt7991608/,movie,6.3,118,2021,"Action, Comedy, Thriller",233461,2021-11-04,Rawson Marshall Thurber,,
91,tt0110475,2021-11-15,2021-11-15,,The Mask,https://www.imdb.com/title/tt0110475/,movie,6.9,101,1994,"Action, Comedy, Crime, Fantasy",371453,1994-07-28,Chuck Russell,,
92,tt1245526,2021-11-16,2021-11-16,,RED,https://www.imdb.com/title/tt1245526/,movie,7.0,111,2010,"Action, Comedy, Crime, Thriller",302831,2010-09-29,Robert Schwentke,,
93,tt2314952,2021-12-03,2021-12-03,,Comedians in Cars Getting Coffee,https://www.imdb.com/title/tt2314952/,tvSeries,8.0,20,2012,"Comedy, Family, Talk-Show",12141,2012-07-19,,,
94,tt0087182,2021-12-03,2021-12-03,,Dune,https://www.imdb.com/title/tt0087182/,movie,6.4,137,1984,"Action, Adventure, Sci-Fi",157475,1984-12-03,David Lynch,,
95,tt9735318,2021-12-09,2021-12-09,,The Beatles: Get Back,https://www.imdb.com/title/tt9735318/,tvMiniSeries,9.1,468,2021,"Documentary, Music",17283,2021-11-25,,,
96,tt0079807,2021-12-10,2021-12-10,,Richard Pryor: Live in Concert,https://www.imdb.com/title/tt0079807/,movie,8.1,78,1979,"Documentary, Comedy",5127,1979-01-26,Jeff Margolis,,
97,tt1333125,2021-12-12,2021-12-12,,Movie 43,https://www.imdb.com/title/tt1333125/,movie,4.3,94,2013,Comedy,104042,2013-01-01,"Steven Brill, Rusty Cundieff, Patrik Forsberg, Bob Odenkirk, James Duffy, James Gunn, Peter Farrelly, Brett Ratner, Elizabeth Banks, Jonathan van Tulleken, Steve Carr, Will Graham, Griffin Dunne",,
98,tt15977708,2021-12-15,2021-12-15,,Saturday Morning All Star Hits!,https://www.imdb.com/title/tt15977708/,tvSeries,7.6,23,2021,"Animation, Comedy",763,2021-12-10,,,
99,tt10872600,2021-12-17,2021-12-17,,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,movie,8.7,148,2021,"Action, Adventure, Fantasy, Sci-Fi",457119,2021-12-13,Jon Watts,,
100,tt15573636,2021-12-22,2021-12-22,,"LOL: Se Rir, Já Era",https://www.imdb.com/title/tt15573636/,tvSeries,7.3,,2021,"Comedy, Game-Show",208,2021-12-03,,,
101,tt2294629,2021-12-26,2021-12-26,,Frozen,https://www.imdb.com/title/tt2294629/,movie,7.4,102,2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical",604661,2013-11-10,"Jennifer Lee, Chris Buck",,
102,tt11286314,2021-12-29,2021-12-29,,Don't Look Up,https://www.imdb.com/title/tt11286314/,movie,7.2,138,2021,"Comedy, Drama, Sci-Fi",424787,2021-12-05,Adam McKay,,
103,tt7097896,2021-12-31,2021-12-31,,Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,movie,6.0,97,2021,"Action, Adventure, Sci-Fi, Thriller",172827,2021-09-14,Andy Serkis,,
104,tt12974818,2021-12-31,2021-12-31,,David,https://www.imdb.com/title/tt12974818/,short,7.1,11,2020,"Short, Comedy",486,2020-09-10,Zach Woods,,
105,tt10986410,2022-01-01,2022-01-01,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",164752,2020-08-14,,,
